gid,landarea_lbl,landarea_val,경도,위도
占썬끉沅?3ba51ba,50654.83,50654.8300000000000000000000000000000,126.861675,37.562259
占썬끉沅?3ba51bb,,,126.861656,37.564512
占썬끉沅?3ba52aa,,,126.861637,37.566766
占썬끉沅?3bb48aa,570.39,570.3899999999990000000000000000000,126.864773,37.530729
占썬끉沅?3bb48ab,591.12,591.1200000000000000000000000000000,126.864754,37.532982
占썬끉沅?3bb48ba,,,126.864735,37.535235
占썬끉沅?3bb48bb,409.85,409.8500000000000000000000000000000,126.864716,37.537489
占썬끉沅?3bb49aa,4380.60,4380.6000000000000000000000000000000,126.864697,37.539742
占썬끉沅?3bb49ab,,,126.864678,37.541995
占썬끉沅?3bb50aa,384.38,384.3799999999990000000000000000000,126.864621,37.548755
占썬끉沅?3bb50ab,571.68,571.6799999999990000000000000000000,126.864601,37.551008
占썬끉沅?3bb50ba,1257.57,1257.5699999999900000000000000000000,126.864582,37.553261
占썬끉沅?3bb50bb,3777.48,3777.4800000000000000000000000000000,126.864563,37.555515
占썬끉沅?3bb51aa,9771.19,9771.1900000000000000000000000000000,126.864544,37.557768
占썬끉沅?3bb51ab,10302.14,10302.1399999999000000000000000000000,126.864525,37.560021
占썬끉沅?3bb51ba,22002.90,22002.9000000000000000000000000000000,126.864506,37.562274
占썬끉沅?3bb51bb,,,126.864487,37.564528
占썬끉沅?4aa50aa,113.95,113.9500000000000000000000000000000,126.867451,37.548770
占썬끉沅?4aa50ab,3357.28,3357.2800000000000000000000000000000,126.867432,37.551023
占썬끉沅?4aa50ba,4284.09,4284.0900000000000000000000000000000,126.867412,37.553277
占썬끉沅?4aa50bb,6682.34,6682.3400000000000000000000000000000,126.867393,37.555530
占썬끉沅?4aa51aa,11082.47,11082.4699999999000000000000000000000,126.867374,37.557783
占썬끉沅?4aa51ab,793.00,793.0000000000000000000000000000000,126.867355,37.560036
占썬끉沅?4aa51ba,,,126.867336,37.562290
占썬끉沅?4ab49bb,641.10,641.1000000000000000000000000000000,126.870300,37.546532
占썬끉沅?4ab50aa,6303.18,6303.1800000000000000000000000000000,126.870281,37.548785
占썬끉沅?4ab50ab,3571.15,3571.1500000000000000000000000000000,126.870262,37.551038
占썬끉沅?4ab50ba,2974.00,2974.0000000000000000000000000000000,126.870243,37.553292
占썬끉沅?4ab50bb,1890.00,1890.0000000000000000000000000000000,126.870224,37.555545
占썬끉沅?4ab51aa,26161.80,26161.7999999999000000000000000000000,126.870205,37.557798
占썬끉沅?4ab51ab,,,126.870186,37.560052
占썬끉沅?4ab51ba,,,126.870167,37.562305
占썬끉沅?4ba49bb,2289.73,2289.7300000000000000000000000000000,126.873130,37.546547
占썬끉沅?4ba50aa,10114.24,10114.2399999999000000000000000000000,126.873111,37.548800
占썬끉沅?4ba50ab,5079.52,5079.5200000000000000000000000000000,126.873092,37.551054
占썬끉沅?4ba50ba,6211.37,6211.3699999999900000000000000000000,126.873073,37.553307
占썬끉沅?4ba50bb,14948.89,14948.8899999999000000000000000000000,126.873054,37.555560
占썬끉沅?4ba51aa,,,126.873035,37.557813
占썬끉沅?4ba51ab,,,126.873016,37.560067
占썬끉沅?4bb49bb,1458.94,1458.9400000000000000000000000000000,126.875960,37.546562
