gid,constructurearea_lbl,constructurearea_val,경도,위도
占썬끉沅?8bb52bb,156.39,156.3899999999990000000000000000000,126.807791,37.573222
占썬끉沅?8bb53aa,709.09,709.0900000000000000000000000000000,126.807770,37.575475
占썬끉沅?8bb53ab,1093.61,1093.6099999999900000000000000000000,126.807749,37.577729
占썬끉沅?8bb53ba,,,126.807728,37.579982
占썬끉沅?8bb53bb,60.48,60.4799999999999000000000000000000,126.807707,37.582235
占썬끉沅?8bb54aa,,,126.807687,37.584488
占썬끉沅?8bb54ab,,,126.807666,37.586742
占썬끉沅?8bb54ba,,,126.807645,37.588995
占썬끉沅?8bb54bb,,,126.807624,37.591248
占썬끉沅?8bb55aa,,,126.807603,37.593501
占썬끉沅?8bb55ab,,,126.807582,37.595754
占썬끉沅?8bb55ba,,,126.807561,37.598008
占썬끉沅?8bb55bb,,,126.807540,37.600261
占썬끉沅?8bb56aa,,,126.807520,37.602514
占썬끉沅?9aa49ab,,,126.810912,37.541694
占썬끉沅?9aa49ba,,,126.810892,37.543947
占썬끉沅?9aa49bb,,,126.810871,37.546200
占썬끉沅?9aa50aa,,,126.810850,37.548453
占썬끉沅?9aa50ab,,,126.810829,37.550707
占썬끉沅?9aa50ba,,,126.810809,37.552960
占썬끉沅?9aa50bb,281.01,281.0099999999990000000000000000000,126.810788,37.555213
占썬끉沅?9aa51aa,107.35,107.3499999999990000000000000000000,126.810767,37.557466
占썬끉沅?9aa51ab,123.57,123.5699999999990000000000000000000,126.810746,37.559719
占썬끉沅?9aa51ba,154.62,154.6200000000000000000000000000000,126.810726,37.561973
占썬끉沅?9aa51bb,90.52,90.5199999999999000000000000000000,126.810705,37.564226
占썬끉沅?9aa52aa,87.43,87.4300000000000000000000000000000,126.810684,37.566479
占썬끉沅?9aa52ab,113.06,113.0600000000000000000000000000000,126.810663,37.568732
占썬끉沅?9aa52ba,158.94,158.9399999999990000000000000000000,126.810643,37.570986
占썬끉沅?9aa52bb,184.64,184.6399999999990000000000000000000,126.810622,37.573239
占썬끉沅?9aa53aa,140.46,140.4600000000000000000000000000000,126.810601,37.575492
占썬끉沅?9aa53ab,463.26,463.2599999999990000000000000000000,126.810580,37.577745
占썬끉沅?9aa53ba,2732.93,2732.9299999999900000000000000000000,126.810560,37.579998
占썬끉沅?9aa53bb,1036.02,1036.0199999999900000000000000000000,126.810539,37.582252
占썬끉沅?9aa54aa,229.84,229.8400000000000000000000000000000,126.810518,37.584505
占썬끉沅?9aa54ab,,,126.810497,37.586758
占썬끉沅?9aa54ba,,,126.810476,37.589011
占썬끉沅?9aa54bb,,,126.810456,37.591265
占썬끉沅?9aa55aa,,,126.810435,37.593518
占썬끉沅?9aa55ab,,,126.810414,37.595771
占썬끉沅?9aa55ba,,,126.810393,37.598024
占썬끉沅?9aa55bb,,,126.810372,37.600277
占썬끉沅?9ab49ab,,,126.813742,37.541710
占썬끉沅?9ab49ba,,,126.813722,37.543963
占썬끉沅?9ab49bb,2138.50,2138.5000000000000000000000000000000,126.813701,37.546217
占썬끉沅?9ab50aa,2529.81,2529.8099999999900000000000000000000,126.813680,37.548470
占썬끉沅?9ab50ab,6510.03,6510.0299999999900000000000000000000,126.813660,37.550723
占썬끉沅?9ab50ba,210.77,210.7700000000000000000000000000000,126.813639,37.552976
占썬끉沅?9ab50bb,108.96,108.9599999999990000000000000000000,126.813618,37.555229
占썬끉沅?9ab51aa,95.27,95.2699999999999000000000000000000,126.813598,37.557483
占썬끉沅?9ab51ab,95.18,95.1800000000000000000000000000000,126.813577,37.559736
占썬끉沅?9ab51ba,134.50,134.5000000000000000000000000000000,126.813556,37.561989
占썬끉沅?9ab51bb,85.74,85.7399999999999000000000000000000,126.813536,37.564242
占썬끉沅?9ab52aa,91.69,91.6899999999999000000000000000000,126.813515,37.566496
占썬끉沅?9ab52ab,162.09,162.0900000000000000000000000000000,126.813494,37.568749
占썬끉沅?9ab52ba,389.12,389.1200000000000000000000000000000,126.813473,37.571002
占썬끉沅?9ab52bb,123.54,123.5400000000000000000000000000000,126.813453,37.573255
占썬끉沅?9ab53aa,273.42,273.4200000000000000000000000000000,126.813432,37.575509
占썬끉沅?9ab53ab,413.86,413.8600000000000000000000000000000,126.813411,37.577762
占썬끉沅?9ab53ba,1536.83,1536.8299999999900000000000000000000,126.813391,37.580015
占썬끉沅?9ab53bb,557.16,557.1599999999990000000000000000000,126.813370,37.582268
占썬끉沅?9ab54aa,305.03,305.0299999999990000000000000000000,126.813349,37.584521
占썬끉沅?9ab54ab,,,126.813329,37.586775
占썬끉沅?9ab54ba,,,126.813308,37.589028
占썬끉沅?9ab54bb,,,126.813287,37.591281
占썬끉沅?9ab55aa,,,126.813267,37.593534
占썬끉沅?9ab55ab,,,126.813246,37.595788
占썬끉沅?9ab55ba,,,126.813225,37.598041
占썬끉沅?9ba49aa,,,126.816592,37.539473
占썬끉沅?9ba49ab,258.53,258.5299999999990000000000000000000,126.816572,37.541726
占썬끉沅?9ba49ba,117.00,117.0000000000000000000000000000000,126.816551,37.543980
占썬끉沅?9ba49bb,54.70,54.7000000000000000000000000000000,126.816531,37.546233
占썬끉沅?9ba50aa,577.45,577.4499999999990000000000000000000,126.816510,37.548486
占썬끉沅?9ba50ab,,,126.816490,37.550739
占썬끉沅?9ba50ba,199.20,199.1999999999990000000000000000000,126.816469,37.552993
占썬끉沅?9ba50bb,105.73,105.7300000000000000000000000000000,126.816448,37.555246
占썬끉沅?9ba51aa,156.28,156.2800000000000000000000000000000,126.816428,37.557499
占썬끉沅?9ba51ab,711.57,711.5700000000000000000000000000000,126.816407,37.559752
占썬끉沅?9ba51ba,207.03,207.0300000000000000000000000000000,126.816387,37.562006
占썬끉沅?9ba51bb,120.32,120.3199999999990000000000000000000,126.816366,37.564259
占썬끉沅?9ba52aa,119.01,119.0100000000000000000000000000000,126.816346,37.566512
占썬끉沅?9ba52ab,132.36,132.3600000000000000000000000000000,126.816325,37.568765
占썬끉沅?9ba52ba,190.28,190.2800000000000000000000000000000,126.816304,37.571019
占썬끉沅?9ba52bb,267.07,267.0699999999990000000000000000000,126.816284,37.573272
占썬끉沅?9ba53aa,981.47,981.4700000000000000000000000000000,126.816263,37.575525
占썬끉沅?9ba53ab,192.21,192.2100000000000000000000000000000,126.816243,37.577778
占썬끉沅?9ba53ba,306.51,306.5099999999990000000000000000000,126.816222,37.580031
占썬끉沅?9ba53bb,,,126.816201,37.582285
占썬끉沅?9ba54aa,93.85,93.8499999999999000000000000000000,126.816181,37.584538
占썬끉沅?9ba54ab,288.00,288.0000000000000000000000000000000,126.816160,37.586791
占썬끉沅?9ba54ba,,,126.816139,37.589044
占썬끉沅?9ba54bb,,,126.816119,37.591298
占썬끉沅?9ba55aa,,,126.816098,37.593551
占썬끉沅?9ba55ab,,,126.816078,37.595804
占썬끉沅?9ba55ba,,,126.816057,37.598057
占썬끉沅?9bb49ab,,,126.819402,37.541743
占썬끉沅?9bb49ba,,,126.819381,37.543996
占썬끉沅?9bb49bb,172.78,172.7800000000000000000000000000000,126.819361,37.546249
占썬끉沅?9bb50aa,871.13,871.1300000000000000000000000000000,126.819340,37.548503
占썬끉沅?9bb50ab,7792.48,7792.4799999999900000000000000000000,126.819320,37.550756
占썬끉沅?9bb50ba,2214.78,2214.7800000000000000000000000000000,126.819299,37.553009
占썬끉沅?9bb50bb,104.29,104.2900000000000000000000000000000,126.819279,37.555262
占썬끉沅?9bb51aa,266.20,266.1999999999990000000000000000000,126.819258,37.557515
占썬끉沅?9bb51ab,518.04,518.0399999999990000000000000000000,126.819238,37.559769
占썬끉沅?9bb51ba,467.43,467.4300000000000000000000000000000,126.819217,37.562022
占썬끉沅?9bb51bb,525.83,525.8300000000000000000000000000000,126.819197,37.564275
占썬끉沅?9bb52aa,952.55,952.5499999999990000000000000000000,126.819176,37.566528
占썬끉沅?9bb52ab,754.91,754.9099999999990000000000000000000,126.819156,37.568782
占썬끉沅?9bb52ba,239.06,239.0600000000000000000000000000000,126.819135,37.571035
占썬끉沅?9bb52bb,888.26,888.2599999999990000000000000000000,126.819115,37.573288
占썬끉沅?9bb53aa,6803.16,6803.1599999999900000000000000000000,126.819094,37.575541
占썬끉沅?9bb53ab,200.74,200.7400000000000000000000000000000,126.819074,37.577795
占썬끉沅?9bb53ba,979.75,979.7500000000000000000000000000000,126.819053,37.580048
占썬끉沅?9bb53bb,75.69,75.6899999999999000000000000000000,126.819033,37.582301
占썬끉沅?9bb54aa,,,126.819012,37.584554
占썬끉沅?9bb54ab,,,126.818992,37.586807
占썬끉沅?9bb54ba,,,126.818971,37.589061
占썬끉沅?9bb54bb,,,126.818950,37.591314
占썬끉沅?9bb55aa,,,126.818930,37.593567
占썬끉沅?9bb55ab,,,126.818909,37.595820
占썬끉沅?0aa49ab,,,126.822231,37.541759
占썬끉沅?0aa49ba,,,126.822211,37.544012
占썬끉沅?0aa49bb,152.79,152.7899999999990000000000000000000,126.822191,37.546266
占썬끉沅?0aa50aa,462.10,462.1000000000000000000000000000000,126.822170,37.548519
占썬끉沅?0aa50ab,335.74,335.7400000000000000000000000000000,126.822150,37.550772
占썬끉沅?0aa50ba,4625.87,4625.8699999999900000000000000000000,126.822129,37.553025
占썬끉沅?0aa50bb,2163.70,2163.6999999999900000000000000000000,126.822109,37.555279
占썬끉沅?0aa51aa,2233.44,2233.4400000000000000000000000000000,126.822089,37.557532
占썬끉沅?0aa51ab,426.42,426.4200000000000000000000000000000,126.822068,37.559785
占썬끉沅?0aa51ba,2194.65,2194.6500000000000000000000000000000,126.822048,37.562038
占썬끉沅?0aa51bb,867.62,867.6200000000000000000000000000000,126.822027,37.564291
占썬끉沅?0aa52aa,396.13,396.1299999999990000000000000000000,126.822007,37.566545
占썬끉沅?0aa52ab,416.51,416.5099999999990000000000000000000,126.821986,37.568798
占썬끉沅?0aa52ba,219.94,219.9399999999990000000000000000000,126.821966,37.571051
占썬끉沅?0aa52bb,442.60,442.6000000000000000000000000000000,126.821946,37.573304
占썬끉沅?0aa53aa,,,126.821925,37.575558
占썬끉沅?0aa53ab,,,126.821905,37.577811
占썬끉沅?0aa53ba,,,126.821884,37.580064
占썬끉沅?0aa53bb,,,126.821864,37.582317
占썬끉沅?0aa54aa,,,126.821843,37.584571
占썬끉沅?0aa54ab,,,126.821823,37.586824
占썬끉沅?0aa54ba,,,126.821803,37.589077
占썬끉沅?0aa54bb,,,126.821782,37.591330
占썬끉沅?0ab49ab,,,126.825061,37.541775
占썬끉沅?0ab49ba,,,126.825041,37.544029
占썬끉沅?0ab49bb,148.85,148.8499999999990000000000000000000,126.825021,37.546282
占썬끉沅?0ab50aa,525.20,525.2000000000000000000000000000000,126.825000,37.548535
占썬끉沅?0ab50ab,681.20,681.2000000000000000000000000000000,126.824980,37.550788
占썬끉沅?0ab50ba,532.50,532.5000000000000000000000000000000,126.824960,37.553042
占썬끉沅?0ab50bb,945.67,945.6699999999990000000000000000000,126.824939,37.555295
占썬끉沅?0ab51aa,987.79,987.7899999999990000000000000000000,126.824919,37.557548
占썬끉沅?0ab51ab,1367.23,1367.2300000000000000000000000000000,126.824899,37.559801
占썬끉沅?0ab51ba,5994.57,5994.5699999999900000000000000000000,126.824878,37.562054
占썬끉沅?0ab51bb,597.76,597.7599999999990000000000000000000,126.824858,37.564308
占썬끉沅?0ab52aa,590.16,590.1599999999990000000000000000000,126.824838,37.566561
占썬끉沅?0ab52ab,1781.66,1781.6600000000000000000000000000000,126.824817,37.568814
占썬끉沅?0ab52ba,736.79,736.7899999999990000000000000000000,126.824797,37.571067
占썬끉沅?0ab52bb,197.15,197.1500000000000000000000000000000,126.824777,37.573321
占썬끉沅?0ab53aa,,,126.824756,37.575574
占썬끉沅?0ab53ab,,,126.824736,37.577827
占썬끉沅?0ab53ba,,,126.824716,37.580080
占썬끉沅?0ab53bb,,,126.824695,37.582334
占썬끉沅?0ab54aa,,,126.824675,37.584587
占썬끉沅?0ab54ab,,,126.824654,37.586840
占썬끉沅?0ab54ba,,,126.824634,37.589093
占썬끉沅?0ab54bb,,,126.824614,37.591346
占썬끉沅?0ba49bb,,,126.827850,37.546298
占썬끉沅?0ba50aa,659.94,659.9400000000000000000000000000000,126.827830,37.548551
占썬끉沅?0ba50ab,294.87,294.8700000000000000000000000000000,126.827810,37.550804
占썬끉沅?0ba50ba,322.70,322.6999999999990000000000000000000,126.827790,37.553058
