values,address,area(m2),latitude,longitude
공동주택,서울특별시 강서구 공항대로4길 ,252.33,37.5605226,126.8107803
공동주택,서울특별시 강서구 공항대로4길 ,185.19,37.5605226,126.8107803
공동주택,서울특별시 강서구 공항대로4길 ,185.19,37.5605226,126.8107803
공동주택,서울특별시 강서구 송정로 ,747.6651,37.5580738,126.8111162
공동주택,서울특별시 강서구 공항대로7길 ,354.72,37.562459,126.8129782
공동주택,서울특별시 강서구 공항대로13길 20-15,158.78,37.561775,126.813696
공동주택,서울특별시 강서구 공항대로13길 20-19,164.51,37.561775,126.813696
공동주택,서울특별시 강서구 공항대로7가길 28,114.22,37.5624876,126.8137345
공동주택,서울특별시 강서구 공항대로7가길 ,129.17,37.5624876,126.8137345
공동주택,서울특별시 강서구 공항대로7가길 22-2,140.58,37.5624876,126.8137345
공동주택,서울특별시 강서구 공항대로7가길 ,135.94,37.5624876,126.8137345
공동주택,서울특별시 강서구 공항대로7가길 ,114.22,37.5624876,126.8137345
공동주택,서울특별시 강서구 공항대로11길 14-7,126.76,37.5618194,126.8130888
공동주택,서울특별시 강서구 공항대로11길 14-8,119.3,37.5618194,126.8130888
공동주택,서울특별시 강서구 공항대로7가길 ,122.96,37.5624876,126.8137345
공동주택,서울특별시 강서구 방화대로21길 37-2,79.83,37.5632047,126.8139302
공동주택,서울특별시 강서구 공항대로13길 26,58.04,37.561775,126.813696
공동주택,서울특별시 강서구 공항대로7가길 12,151.2,37.5624876,126.8137345
공동주택,서울특별시 강서구 공항대로7길 30,303.7,37.562459,126.8129782
공동주택,서울특별시 강서구 공항대로13길 20-21,156.52,37.561775,126.813696
공동주택,서울특별시 강서구 공항대로13길 ,123.76,37.561775,126.813696
공동주택,서울특별시 강서구 공항대로13길 20-4,171.57,37.561775,126.813696
공동주택,서울특별시 강서구 공항대로13길 20-5,144.41,37.561775,126.813696
공동주택,서울특별시 강서구 방화대로21가길 5-10,140.62,37.5634495,126.8144007
공동주택,서울특별시 강서구 방화대로21가길 5-11,150.32,37.5634495,126.8144007
공동주택,서울특별시 강서구 방화대로21가길 5-7,150.32,37.5634495,126.8144007
공동주택,서울특별시 강서구 방화대로21가길 5-5,83.3,37.5634495,126.8144007
공동주택,서울특별시 강서구 방화대로23길 49-7,150.22,37.5642333,126.8142911
공동주택,서울특별시 강서구 방화대로23길 49-28,102.6,37.5642333,126.8142911
공동주택,서울특별시 강서구 방화대로23길 65,115.01,37.5642333,126.8142911
공동주택,서울특별시 강서구 방화대로21길 70,534.3,37.5632047,126.8139302
