,상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
247590,20251394,서울강서지역자활센터-카페,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150055000,화곡2동,1150010300,화곡동,1150010300108740009,1,대지,874,9.0,서울특별시 강서구 화곡동 874-9,115003005063,서울특별시 강서구 곰달래로,180,,1150010300108740009023343,서울강서지역자활센터,서울특별시 강서구 곰달래로 180,157010,7782.0,,1,,126.852936655214,37.5308748663564
247631,17156095,카페,써스데이,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150063000,방화1동,1150010900,방화동,1150010900101840060,1,대지,184,60.0,서울특별시 강서구 방화동 184-60,115004145335,서울특별시 강서구 방화대로40길,36,,1150010900101840060000001,,서울특별시 강서구 방화대로40길 36,157846,7597.0,,2,,126.818804428317,37.5708865736316
247701,17101408,메가엠지씨커피,신방화역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150063000,방화1동,1150010500,마곡동,1150010500107390002,1,대지,739,2.0,서울특별시 강서구 마곡동 739-2,115003155051,서울특별시 강서구 마곡중앙5로,87,,1150010500107390002000001,우성르보아투,서울특별시 강서구 마곡중앙5로 87,157855,7599.0,,1,,126.817753621941,37.5671818375472
247710,17096743,내커피,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150055000,화곡2동,1150010300,화곡동,1150010300108600011,1,대지,860,11.0,서울특별시 강서구 화곡동 860-11,115004145142,서울특별시 강서구 곰달래로37길,7,,1150010300108600011022394,,서울특별시 강서구 곰달래로37길 7,157904,7750.0,,1,,126.854633666795,37.5316211779894
247774,15655489,블루나일트레이딩,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500,마곡동,1150010500107570003,1,대지,757,3.0,서울특별시 강서구 마곡동 757-3,115003155059,서울특별시 강서구 마곡중앙5로1길,20,,1150010500107570003000001,마곡나루역보타닉비즈타워,서울특별시 강서구 마곡중앙5로1길 20,157805,7788.0,,,,126.826695523554,37.5686586350678
247932,17105424,시나본이대서울병원점,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150061100,발산1동,1150010500,마곡동,1150010500108080000,1,대지,808,,서울특별시 강서구 마곡동 808,115002005007,서울특별시 강서구 공항대로,260,,1150010500108080000000001,이화의대부속서울병원,서울특별시 강서구 공항대로 260,157210,7804.0,,1,,126.836245682527,37.5572560142505
247938,17101344,삼층다방,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500,마곡동,1150010500107710003,1,대지,771,3.0,서울특별시 강서구 마곡동 771-3,115003155054,서울특별시 강서구 마곡중앙6로,11,,1150010500100000000000005,보타닉파크타워3,서울특별시 강서구 마곡중앙6로 11,157805,7801.0,,,,126.828640035331,37.5608660153818
247949,17094703,쉐드커피,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500,마곡동,1150010500107730002,1,대지,773,2.0,서울특별시 강서구 마곡동 773-2,115003155054,서울특별시 강서구 마곡중앙6로,16,,1150010500107271088000001,마곡지엠지타워,서울특별시 강서구 마곡중앙6로 16,157805,7801.0,,1,,126.828987013432,37.560391911309
247982,17083270,매머드익스프레스마곡그랑,트윈타워점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150061100,발산1동,1150010500,마곡동,1150010500107990009,1,대지,799,9.0,서울특별시 강서구 마곡동 799-9,115003155053,서울특별시 강서구 마곡중앙4로,18,,1150010500107990009000001,,서울특별시 강서구 마곡중앙4로 18,157210,7631.0,B,,,126.828597631998,37.5585139043124
248081,23366570,카페푸릇,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150056000,화곡3동,1150010300,화곡동,1150010300110150004,1,대지,1015,4.0,서울특별시 강서구 화곡동 1015-4,115004145494,서울특별시 강서구 화곡로13길,119,,1150010300110150004021961,스마일스토리,서울특별시 강서구 화곡로13길 119,157010,7709.0,,1,,126.83357531197,37.5448674962693
