기준_년월_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
2021,1,A,골목상권,1000200,장한로27길,167,119,48,1,28,42,40,24,32,1,21,36,25,18,18,0,7,6,15,6,14
2021,1,A,골목상권,1000201,장한로5길,314,189,125,0,58,81,61,58,56,0,28,43,40,34,44,0,30,38,21,24,12
2021,1,A,골목상권,1000202,장한로8길,438,295,143,0,68,64,84,126,96,0,25,40,55,91,84,0,43,24,29,35,12
2021,1,A,골목상권,1000203,전농로29길,461,336,125,1,55,75,140,150,40,0,36,49,104,119,28,1,19,26,36,31,12
2021,1,A,골목상권,1000204,전농로3길,170,120,50,0,20,32,33,59,26,0,13,24,21,43,19,0,7,8,12,16,7
2021,1,A,골목상권,1000205,전농로4길,274,210,64,0,11,58,88,67,50,0,8,49,67,46,40,0,3,9,21,21,10
2021,1,A,골목상권,1000206,제기로21길,101,62,39,0,11,28,43,13,6,0,6,19,27,7,3,0,5,9,16,6,3
2021,1,A,골목상권,1000207,제기로5길,45,39,6,0,1,9,15,9,11,0,1,8,12,8,10,0,0,1,3,1,1
2021,1,A,골목상권,1000208,천장산로7길,74,32,42,0,18,16,19,15,6,0,5,9,8,7,3,0,13,7,11,8,3
2021,1,A,골목상권,1000209,천호대로12길,55,35,20,0,4,9,12,18,12,0,3,3,10,10,9,0,1,6,2,8,3
2021,1,A,골목상권,1000210,천호대로17길,2512,1893,619,13,465,723,603,428,280,7,362,536,460,315,213,6,103,187,143,113,67
2021,1,A,골목상권,1000211,천호대로45길,47,38,9,0,1,13,20,8,5,0,0,11,17,6,4,0,1,2,3,2,1
2021,1,A,골목상권,1000212,천호대로77길,169,111,58,0,26,28,46,41,28,0,13,18,32,26,22,0,13,10,14,15,6
2021,1,A,골목상권,1000213,천호대로97길,878,590,288,0,70,82,103,194,429,0,54,64,76,133,263,0,16,18,27,61,166
2021,1,A,골목상권,1000214,한천로14길,696,440,256,2,87,134,177,185,111,2,59,89,118,108,64,0,28,45,59,77,47
2021,1,A,골목상권,1000215,한천로33길,203,76,127,0,12,21,76,76,18,0,10,11,26,17,12,0,2,10,50,59,6
2021,1,A,골목상권,1000216,한천로40길,90,57,33,0,9,9,17,37,18,0,4,6,9,24,14,0,5,3,8,13,4
2021,1,A,골목상권,1000217,한천로46길,257,101,156,1,29,69,82,62,14,1,9,32,26,26,7,0,20,37,56,36,7
2021,1,A,골목상권,1000218,휘경로14길,113,41,72,0,9,18,22,33,31,0,2,5,10,14,10,0,7,13,12,19,21
2021,1,A,골목상권,1000219,휘경로23길,89,56,33,0,15,16,34,16,8,0,5,13,21,9,8,0,10,3,13,7,0
2021,1,A,골목상권,1000220,휘경로2길,138,88,50,0,23,26,40,31,18,0,7,14,28,25,14,0,16,12,12,6,4
2021,1,A,골목상권,1000221,휘경로3길,127,69,58,0,23,32,28,28,16,0,9,13,17,20,10,0,14,19,11,8,6
2021,1,A,골목상권,1000222,겸재로29길,126,74,52,0,24,21,24,29,28,0,14,8,12,20,20,0,10,13,12,9,8
2021,1,A,골목상권,1000223,겸재로36길,134,60,74,0,22,24,29,35,24,0,1,12,14,20,13,0,21,12,15,15,11
2021,1,A,골목상권,1000224,겸재로54길,131,79,52,0,12,22,35,32,30,0,9,18,15,19,18,0,3,4,20,13,12
2021,1,A,골목상권,1000225,공릉로12가길,75,50,25,0,6,17,16,19,17,0,5,9,7,15,14,0,1,8,9,4,3
2021,1,A,골목상권,1000226,공릉로2길,148,69,79,0,7,25,40,48,28,0,5,10,13,18,23,0,2,15,27,30,5
2021,1,A,골목상권,1000227,답십리로75길,57,33,24,0,9,8,18,14,8,0,1,3,11,10,8,0,8,5,7,4,0
2021,1,A,골목상권,1000228,동일로100길,328,240,88,0,41,42,51,96,98,0,17,25,28,79,91,0,24,17,23,17,7
2021,1,A,골목상권,1000229,동일로101길,202,58,144,1,26,33,37,80,25,0,6,13,14,18,7,1,20,20,23,62,18
2021,1,A,골목상권,1000230,동일로112길,193,120,73,0,18,29,52,46,48,0,10,10,31,32,37,0,8,19,21,14,11
2021,1,A,골목상권,1000231,동일로123길,145,74,71,0,14,26,41,29,35,0,6,13,21,12,22,0,8,13,20,17,13
2021,1,A,골목상권,1000232,동일로130길,130,99,31,0,6,32,44,31,17,0,2,23,35,24,15,0,4,9,9,7,2
2021,1,A,골목상권,1000233,동일로139가길,187,81,106,1,26,31,50,48,31,1,7,10,22,20,21,0,19,21,28,28,10
2021,1,A,골목상권,1000234,동일로139길,77,53,24,0,5,9,21,31,11,0,5,7,10,21,10,0,0,2,11,10,1
2021,1,A,골목상권,1000235,동일로140길,432,314,118,0,28,49,111,128,116,0,18,27,65,99,105,0,10,22,46,29,11
2021,1,A,골목상권,1000236,동일로149길,870,749,121,0,174,268,189,223,16,0,134,228,162,211,14,0,40,40,27,12,2
2021,1,A,골목상권,1000237,동일로157길,443,270,173,0,54,90,87,139,73,0,14,50,47,102,57,0,40,40,40,37,16
2021,1,A,골목상권,1000238,동일로163길,112,67,45,0,9,23,28,25,27,0,1,12,24,11,19,0,8,11,4,14,8
